Cidade;Estado;ClassIVS;GHI;ClassIDHM;Portemun;Densdemogcateg;Arborizacao;Urbanizacao;Lugarcaminha;Corpele;Sexomasc;Sexofem;Nacionalidade;Estcivil;Casavive;Estudo;Sitprof;Rendaagrup;Idade;Fuma;Bebe;Classaf;Obesfamilia;Restquilo;Restalacarte;Restselfservice;Restgrandefastfood;Restpequenofastfood;Bar;Padaria;Cafes;RestUniversitario;Emcasa;Desfechos
55;16;2;1930;4;5;5;82.7;44.2;1;2;0;1;2;2;3;2;4;1;37;0;1;3;0;0;0;1;0;0;0;0;0;0;0;1
55;16;2;1930;4;5;5;82.7;44.2;1;1;0;1;2;1;4;4;4;3;47;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1
55;16;2;1930;4;5;5;82.7;44.2;1;1;1;0;2;2;4;1;4;1;25;0;1;2;0;2;2;2;2;2;2;2;2;2;2;1
55;16;2;1930;4;5;5;82.7;44.2;1;1;1;0;2;1;4;2;4;3;42;0;1;1;0;2;2;2;2;2;2;2;2;2;2;1
55;16;2;1930;4;5;5;82.7;44.2;1;1;0;1;2;1;4;1;4;0;41;0;1;1;0;0;0;1;0;0;0;0;0;0;1;1
55;16;2;1930;4;5;5;82.7;44.2;1;1;0;1;2;2;1;1;4;2;34;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1
55;16;2;1930;4;5;5;82.7;44.2;1;1;0;1;2;2;6;2;1;2;30;0;1;2;1;1;0;1;0;0;0;0;0;1;0;1
55;16;2;1930;4;5;5;82.7;44.2;1;1;0;1;2;2;4;1;4;3;27;0;1;1;0;1;0;0;0;0;0;0;0;0;1;1
55;16;2;1930;4;5;5;82.7;44.2;1;2;0;1;2;2;4;1;4;3;27;0;1;1;1;0;0;1;0;0;0;1;1;0;1;1
55;16;2;1930;4;5;5;82.7;44.2;1;2;0;1;2;1;3;2;3;2;57;0;0;2;0;1;0;1;0;0;0;0;0;0;1;1
55;16;2;1930;4;5;5;82.7;44.2;1;1;0;1;2;1;4;2;4;3;50;0;1;2;1;0;0;0;0;0;0;0;0;0;1;1
55;16;2;1930;4;5;5;82.7;44.2;1;2;0;1;2;1;4;1;4;2;28;0;1;3;1;0;0;1;0;0;0;0;0;0;1;1
55;16;2;1930;4;5;5;82.7;44.2;1;2;0;1;2;1;2;3;4;2;30;0;1;3;0;2;2;2;2;2;2;2;2;2;2;1
55;16;2;1930;4;5;5;82.7;44.2;1;1;0;1;2;4;4;2;4;2;51;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1
55;16;2;1930;4;5;5;82.7;44.2;1;2;0;1;2;2;3;2;4;3;33;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1
55;16;2;1930;4;5;5;82.7;44.2;1;1;0;1;2;2;2;2;4;1;39;0;0;3;0;1;0;1;0;0;0;0;1;0;1;1
55;16;2;1930;4;5;5;82.7;44.2;1;2;0;1;2;1;2;1;4;1;29;0;1;1;0;2;2;2;2;2;2;2;2;2;2;1
55;16;2;1930;4;5;5;82.7;44.2;1;1;0;1;2;2;5;2;4;3;30;0;1;1;0;1;1;1;0;0;0;1;0;0;1;1
